team_abbr,team_color,team_logo_espn
ARI,#97233F,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png
ATL,#A71930,https://a.espncdn.com/i/teamlogos/nfl/500/atl.png
BAL,#241773,https://a.espncdn.com/i/teamlogos/nfl/500/bal.png
BUF,#00338D,https://a.espncdn.com/i/teamlogos/nfl/500/buf.png
CAR,#0085CA,https://a.espncdn.com/i/teamlogos/nfl/500-dark/car.png
CHI,#0B162A,https://a.espncdn.com/i/teamlogos/nfl/500/chi.png
CIN,#FB4F14,https://a.espncdn.com/i/teamlogos/nfl/500/cin.png
CLE,#FF3C00,https://a.espncdn.com/i/teamlogos/nfl/500/cle.png
DAL,#002244,https://a.espncdn.com/i/teamlogos/nfl/500/dal.png
DEN,#002244,https://a.espncdn.com/i/teamlogos/nfl/500/den.png
DET,#0076B6,https://a.espncdn.com/i/teamlogos/nfl/500/det.png
GB,#203731,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png
HOU,#03202F,https://a.espncdn.com/i/teamlogos/nfl/500/hou.png
IND,#002C5F,https://a.espncdn.com/i/teamlogos/nfl/500/ind.png
JAX,#006778,https://a.espncdn.com/i/teamlogos/nfl/500/jax.png
KC,#E31837,https://a.espncdn.com/i/teamlogos/nfl/500/kc.png
LA,#003594,https://a.espncdn.com/i/teamlogos/nfl/500/lar.png
LAC,#007BC7,https://a.espncdn.com/i/teamlogos/nfl/500/lac.png
LAR,#003594,https://a.espncdn.com/i/teamlogos/nfl/500/lar.png
LV,#000000,https://a.espncdn.com/i/teamlogos/nfl/500/lv.png
MIA,#008E97,https://a.espncdn.com/i/teamlogos/nfl/500/mia.png
MIN,#4F2683,https://a.espncdn.com/i/teamlogos/nfl/500/min.png
NE,#002244,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png
NO,#D3BC8D,https://a.espncdn.com/i/teamlogos/nfl/500/no.png
NYG,#0B2265,https://a.espncdn.com/i/teamlogos/nfl/500/nyg.png
NYJ,#003F2D,https://a.espncdn.com/i/teamlogos/nfl/500/nyj.png
OAK,#000000,https://a.espncdn.com/i/teamlogos/nfl/500/lv.png
PHI,#004C54,https://a.espncdn.com/i/teamlogos/nfl/500/phi.png
PIT,#000000,https://a.espncdn.com/i/teamlogos/nfl/500/pit.png
SD,#007BC7,https://a.espncdn.com/i/teamlogos/nfl/500/lac.png
SEA,#002244,https://a.espncdn.com/i/teamlogos/nfl/500/sea.png
SF,#AA0000,https://a.espncdn.com/i/teamlogos/nfl/500/sf.png
STL,#003594,https://a.espncdn.com/i/teamlogos/nfl/500/lar.png
TB,#A71930,https://a.espncdn.com/i/teamlogos/nfl/500/tb.png
TEN,#002244,https://a.espncdn.com/i/teamlogos/nfl/500/ten.png
WAS,#5A1414,https://a.espncdn.com/i/teamlogos/nfl/500/wsh.png
